,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
20,460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,1,0,47160,0,5240,41920,Suburu,2011,N
21,217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,1,2,37840,0,4730,33110,Accura,1996,N
22,370,55,285496,1994-05-27,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,0,0,71520,17880,5960,47680,Suburu,2000,Y
23,413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,2,2,98160,8180,16360,73620,Dodge,2011,Y
24,237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,1,3,77880,7080,14160,56640,Ford,2005,N
25,8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,1,3,71500,16500,11000,44000,Ford,2006,Y
26,257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,2015-01-28,Parked Car,N/A,Minor Damage,Police,PA,Arlington,4,1,1,3,9020,1640,820,6560,Toyota,2005,N
27,202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,2015-01-07,Vehicle Theft,N/A,Minor Damage,None,VA,Northbrook,5,1,2,1,5720,1040,520,4160,Suburu,2003,Y
28,224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,1,0,69840,7760,15520,46560,Dodge,2009,N
29,241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,2,2,91650,14100,14100,63450,Accura,2011,N
30,64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,0,0,75600,12600,12600,50400,Toyota,2005,N
31,166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,2,2,67140,7460,7460,52220,Ford,2006,Y
32,155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,2,3,29790,3310,3310,23170,BMW,2008,N
33,114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,1,2,77110,14020,14020,49070,Suburu,2015,N
34,149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,0,1,64800,10800,5400,48600,Audi,1999,N
35,147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,2,0,53100,10620,5310,37170,Mercedes,1995,Y
36,62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,1,1,60200,6020,6020,48160,Suburu,2004,Y
37,289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,2015-01-18,Parked Car,N/A,Minor Damage,None,WV,Arlington,16,1,1,1,5330,1230,820,3280,Suburu,2001,N
38,431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,2,0,62300,12460,6230,43610,Jeep,2007,N
39,199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,0,3,60170,10940,10940,38290,Nissan,2011,Y
40,79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,2,2,40000,8000,4000,28000,BMW,2010,N
41,116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,1,1,97080,16180,16180,64720,BMW,2001,Y
42,37,23,448961,2006-04-30,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,1,0,51660,5740,5740,40180,Dodge,2010,N
43,106,30,790442,2003-04-13,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,2,2,51120,5680,5680,39760,Mercedes,2005,N
44,269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,0,2,56400,11280,11280,33840,Toyota,2014,N
45,265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,2,3,55120,6890,0,48230,Accura,2002,N
46,163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,1,1,77110,0,14020,63090,Honda,2014,N
47,355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,2,1,62800,6280,6280,50240,Audi,2003,Y
48,175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,2015-02-26,Vehicle Theft,N/A,Trivial Damage,Police,NY,Arlington,5,1,2,0,7290,810,810,5670,Volkswagen,1995,N
49,192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,0,0,76600,15320,7660,53620,Mercedes,2000,N
50,430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,0,3,81800,16360,8180,57260,Nissan,1998,N
51,91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,2015-01-17,Vehicle Theft,N/A,Trivial Damage,None,NY,Arlington,4,1,1,2,7260,1320,660,5280,BMW,2008,N
52,217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,2015-02-22,Vehicle Theft,N/A,Minor Damage,None,WV,Northbend,8,1,2,1,4300,430,430,3440,Toyota,2000,N
53,223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,1,0,70510,12820,12820,44870,Suburu,1999,N
54,195,39,282195,2014-08-17,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,2015-02-27,Parked Car,N/A,Minor Damage,Police,VA,Northbend,5,1,0,1,2640,480,480,1680,Ford,2009,N
55,22,26,420810,2007-08-11,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,1,2,78900,15780,7890,55230,Chevrolet,1995,N
56,439,56,524836,2008-11-20,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,2,3,56430,0,6270,50160,Honda,2014,N
57,94,32,307195,1995-10-18,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,2015-02-22,Parked Car,N/A,Minor Damage,None,VA,Riverwood,19,1,1,3,2400,300,300,1800,Chevrolet,2014,N
58,11,39,623648,1993-05-19,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,0,1,65790,7310,7310,51170,Saab,2007,N
59,151,36,485372,2005-02-26,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,1,1,62920,11440,5720,45760,Ford,2000,N
60,154,34,598554,1990-02-14,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,2,1,69480,15440,0,54040,Nissan,2014,Y
61,245,44,303987,1993-09-30,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,0,3,44280,7380,3690,33210,Honda,1997,N
62,119,32,343161,2014-06-10,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,0,3,56300,5630,11260,39410,BMW,2011,N
63,215,42,519312,2008-10-28,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,2,2,68520,11420,5710,51390,Suburu,2003,Y
64,295,42,132902,2007-04-24,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,0,0,59130,6570,6570,45990,Ford,2006,Y
65,254,39,332867,1993-12-13,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,2,2,82320,13720,6860,61740,Dodge,1995,Y
66,107,31,356590,2011-08-17,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,0,1,89700,13800,13800,62100,Audi,2009,Y
67,478,64,346002,1990-08-20,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,1,1,33930,0,3770,30160,BMW,1998,N
68,128,30,500533,1994-02-11,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,0,3,68530,12460,6230,49840,Audi,1997,N
69,338,49,348209,1994-02-22,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,2015-02-27,Parked Car,N/A,Minor Damage,None,NC,Riverwood,13,1,0,1,4300,860,860,2580,Ford,2004,N
70,271,42,486676,2011-08-15,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,2,3,68310,12420,6210,49680,Audi,2003,Y
71,222,41,260845,1998-11-11,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,0,2,61290,6810,6810,47670,Honda,1995,Y
72,199,41,657045,1995-12-04,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,1,2,30100,3010,0,27090,Chevrolet,1999,N
73,215,37,761189,2002-12-28,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,2,0,57120,9520,4760,42840,Mercedes,2002,N
74,192,40,175177,2004-04-15,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,1,0,42930,9540,4770,28620,BMW,2005,N
75,120,35,116700,2001-02-02,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,2,0,51210,11380,5690,34140,Ford,2010,N
76,270,45,166264,2010-01-12,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,1,1,89400,14900,7450,67050,Suburu,1998,N
77,319,47,527945,1992-04-14,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,0,2,59730,10860,10860,38010,Audi,2005,N
78,194,39,627540,2010-05-21,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,2015-01-24,Vehicle Theft,N/A,Minor Damage,None,SC,Springfield,15,1,2,2,8060,1240,1240,5580,Saab,2004,N
79,227,38,279422,2013-10-27,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,1,2,72200,14440,7220,50540,BMW,2013,Y
80,137,31,484200,1994-10-12,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,1,2,50800,10160,10160,30480,Accura,2005,N
81,244,40,645258,1997-07-04,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,2015-01-03,Vehicle Theft,N/A,Trivial Damage,None,NC,Northbrook,10,1,2,1,6600,660,1320,4620,Accura,2005,N
82,78,29,694662,2011-02-15,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,2015-01-29,Vehicle Theft,N/A,Minor Damage,Police,NY,Northbrook,3,1,2,2,7500,750,1500,5250,Nissan,2002,N
83,200,35,960680,1994-08-21,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,2015-01-19,Vehicle Theft,N/A,Trivial Damage,None,VA,Hillsdale,13,1,0,3,6490,1180,1180,4130,Volkswagen,2002,N
84,284,48,498140,1997-05-15,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,2,3,60940,5540,11080,44320,Audi,2013,Y
85,275,41,498875,1996-10-26,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,0,1,58300,5830,11660,40810,Suburu,2007,N
86,153,34,798177,2006-03-04,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,2,1,68400,11400,11400,45600,Ford,2007,N
87,134,32,614763,1991-01-02,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,2,1,64240,11680,11680,40880,BMW,2015,N
88,31,36,679370,1999-08-15,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,2015-01-30,Parked Car,N/A,Trivial Damage,None,WV,Arlington,9,1,0,1,4700,940,470,3290,Dodge,2002,N
89,41,25,958857,1992-01-15,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,2,0,45120,0,5640,39480,Accura,2011,Y
90,127,29,686816,1999-12-07,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,1,1,66950,10300,10300,46350,Saab,1995,N
91,61,23,127754,1993-06-06,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,0,3,98340,8940,17880,71520,Honda,2004,Y
92,207,42,918629,2000-10-03,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,2015-02-28,Parked Car,N/A,Trivial Damage,None,WV,Springfield,9,1,0,1,5900,590,590,4720,BMW,2007,N
93,219,43,731450,2010-12-29,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,1,1,70680,5890,11780,53010,Ford,2009,N
94,271,42,307447,1990-03-17,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,21,3,1,0,93720,17040,8520,68160,Mercedes,2005,N
95,80,25,992145,2012-03-01,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,2015-02-21,Vehicle Theft,N/A,Minor Damage,None,OH,Northbrook,5,1,2,0,6930,1260,630,5040,Toyota,2001,N
96,325,47,900628,2006-02-05,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,11,1,0,3,72930,6630,6630,59670,Dodge,2006,Y
97,29,25,235220,2014-11-01,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,4,1,2,64890,7210,7210,50470,Nissan,2013,Y
98,295,48,740019,2009-06-17,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,2015-02-22,Parked Car,N/A,Trivial Damage,None,WV,Columbus,6,1,1,2,5400,900,900,3600,Saab,1999,N
99,239,42,246882,1999-09-20,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,reading,2015-01-26,Vehicle Theft,N/A,Trivial Damage,None,NC,Northbrook,10,1,0,0,5600,700,700,4200,Audi,2007,N
100,269,41,797613,1990-10-19,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,yachting,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,23,1,0,0,79300,15860,15860,47580,Saab,2007,N
101,80,27,193442,1996-08-05,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,exercise,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,13,1,1,0,52800,10560,5280,36960,Saab,2004,N
102,279,41,389238,2001-06-06,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,16,3,2,3,28800,0,3600,25200,Ford,2013,N
103,165,33,760179,2007-03-25,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,kayaking,2015-02-15,Parked Car,N/A,Minor Damage,Police,WV,Northbend,3,1,1,1,2970,330,330,2310,Toyota,2008,N
104,350,54,939905,2013-10-31,OH,500/1000,500,1495.1,0,MALE,College,other-service,basketball,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,15,3,0,0,93480,15580,7790,70110,Chevrolet,2014,N
105,295,49,872814,1992-06-13,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,kayaking,2015-01-01,Vehicle Theft,N/A,Minor Damage,None,WV,Columbus,4,1,1,3,4320,480,480,3360,Mercedes,2002,N
106,464,61,632627,1990-10-07,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,6,3,0,2,79800,6650,19950,53200,Saab,2000,Y
107,118,28,283414,1991-12-28,IN,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,camping,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,22,2,1,0,74200,7420,14840,51940,Volkswagen,1997,N
108,298,47,163161,1998-11-11,IL,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,basketball,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,1,1,0,0,70590,10860,10860,48870,Saab,2000,Y
